,base,recommend,confidence,division
0,350-013-000,350-005-000,0.91,MITG
1,350-005-000,350-013-000,0.92,MITG
2,X3-003-000,350-013-000,0.91,MITG
3,350-013-000,X3-003-000,0.77,MITG
4,350-005-000,X3-003-000,0.75,MITG
5,X3-003-000,350-005-000,0.88,MITG
6,176647,LF1837,0.8,MITG
7,LF4418,LF1837,0.8,MITG
8,173049,LF1837,0.79,MITG
9,300-000-000,350-013-000,0.83,MITG
10,350-013-000,300-000-000,0.51,MITG
11,GIA8038L,LF1837,0.79,MITG
12,EGIA45AVM,LF1837,0.78,MITG
13,GIA8038S,LF1837,0.78,MITG
14,EGIA60AVM,LF1837,0.78,MITG
15,EGIAUSTND,LF1837,0.78,MITG
16,SIG60AXT,LF1837,0.78,MITG
17,EGIA45AMT,LF1837,0.77,MITG
18,300-000-000,350-005-000,0.8,MITG
19,350-005-000,300-000-000,0.5,MITG
20,173050G,LF1837,0.75,MITG
21,LF1837,173050G,0.5,MITG
22,340-000-000,350-005-000,0.77,MITG
23,350-005-000,340-000-000,0.88,MITG
24,340-000-000,350-013-000,0.77,MITG
25,350-013-000,340-000-000,0.88,MITG
26,EGIA60AVM,LF1937,0.86,MITG
27,X3-003-000,340-000-000,0.87,MITG
28,340-000-000,X3-003-000,0.65,MITG
29,EGIA60AMT,LF1837,0.74,MITG
30,173022,LF1837,0.72,MITG
31,176630,LF1837,0.72,MITG
32,176657,LF1837,0.71,MITG
33,LF1212,LF1837,0.71,MITG
34,300-000-000,340-000-000,0.83,MITG
35,LF2019,LF1837,0.7,MITG
36,8886803712,150462,0.53,MITG
37,LF1937,LF1837,0.7,MITG
38,OMS-PDB1000,LF1837,0.69,MITG
39,174006,LF1837,0.69,MITG
40,TECR1410DP2,LF1837,0.68,MITG
41,OMS-PDBS2,LF1837,0.68,MITG
42,8888247031,150462,0.5,MITG
43,OMS-T10SB,LF1837,0.64,MITG
44,ABSTACK30X,LF1837,0.64,MITG
45,D-YS,DS100A,0.8,MITG
46,118-80,186-0106,0.69,MITG
47,E1455,LF1837,0.61,MITG
48,115-80,186-0106,0.66,MITG
49,118-70,186-0106,0.66,MITG
50,115-70,186-0106,0.65,MITG
51,115-70,LF1937,0.65,MITG
52,115-80,LF1937,0.64,MITG
53,8886803712,LF1837,0.54,MITG
54,8888247056,186-0106,0.61,MITG
55,8888247056,LF1837,0.54,MITG
56,8888247056,LF1937,0.62,MITG
57,EGIAUSTND,186-0106,0.59,MITG
58,8888247031,186-0106,0.59,MITG
59,PEDICAP,LF1837,0.53,MITG
60,8888247031,LF1837,0.53,MITG
61,EGIA60AMT,186-0106,0.57,MITG
62,LF1837,186-0106,0.57,MITG
63,186-0106,LF1837,0.51,MITG
64,LF4418,186-0106,0.57,MITG
65,LF1937,186-0106,0.56,MITG
66,8886803712,LF1937,0.59,MITG
67,EASYCAPII6,LF1837,0.5,MITG
68,173049,DS100A,0.63,MITG
69,8886803712,186-0106,0.55,MITG
70,EGIAUSTND,DS100A,0.61,MITG
71,LF4418,DS100A,0.61,MITG
72,ABSTACK30X,186-0106,0.53,MITG
73,173022,DS100A,0.6,MITG
74,LF2019,DS100A,0.6,MITG
75,OMS-T10SB,186-0106,0.52,MITG
76,EGIA60AMT,DS100A,0.59,MITG
77,LF1937,DS100A,0.58,MITG
78,LF1837,DS100A,0.58,MITG
79,OMS-PDBS2,DS100A,0.58,MITG
80,OMS-T10SB,DS100A,0.58,MITG
81,350-013-000,LF1937,0.52,MITG
82,350-005-000,LF1937,0.51,MITG
83,LF4418,340-000-000,0.52,MITG
84,OMS-PDBS2,340-000-000,0.51,MITG
85,TECR1410DP2,DS100A,0.54,MITG
86,LF1937,340-000-000,0.5,MITG
87,ABSTACK30X,DS100A,0.54,MITG
88,EASYCAPII6,DS100A,0.5,MITG
89,ACC-822BK,ACC-1601,0.68,Diabetes
90,MMT-7910W5,MMT-1891,0.88,Diabetes
91,MMT-1891,MMT-7910W5,0.52,Diabetes
92,MMT-7020C5,MMT-7810W1,0.51,Diabetes
93,MMT-7810W1,MMT-7020C5,0.99,Diabetes
94,MMT-7910W5,MMT-7020C5,0.95,Diabetes
