,Product,date,predict,Unnamed: 0,actual,material_x,y,material_y,lower,upper,base,cmb_pred
0,LF1837,2020-04-01,1853.9013680465569,0,88.0,LF1837,,,,,LF1837,
1,LF1837,2020-05-01,1812.2148944883868,1,1380.0,LF1837,,,,,LF1837,
2,LF1837,2020-06-01,1769.1188598779843,2,1712.0,LF1837,,,,,LF1837,
3,LF1837,2020-07-01,1726.498209438256,3,2076.0,LF1837,,,,,LF1837,
4,LF1837,2020-08-01,1681.642943060189,4,1671.0,LF1837,,,,,LF1837,
5,LF1837,2020-09-01,1635.2955436616082,5,1684.0,LF1837,,,,,LF1837,
6,LF1837,2020-10-01,1588.9884578877184,6,2246.0,LF1837,,,,,LF1837,
7,LF1837,2020-11-01,1539.11711314742,7,1953.0,LF1837,,,,,LF1837,
8,LF1837,2020-12-01,1488.682535398992,8,2309.0,LF1837,,,,,LF1837,
9,LF1837,2021-01-01,1434.6618186206647,9,1118.0,LF1837,,,,,LF1837,
10,LF1837,2021-02-01,1378.7322299736766,10,1656.0,LF1837,,,,,LF1837,
11,LF1837,2021-03-01,1327.150766726412,11,1826.0,LF1837,,,,,LF1837,
12,LF1837,2021-04-01,1266.9570098524903,12,1756.0,LF1837,,,,,LF1837,
13,LF1837,2021-05-01,1206.094762473703,13,1625.0,LF1837,,,,,LF1837,
14,LF1837,2021-06-01,1141.1893192932162,14,1879.0,LF1837,,,,,LF1837,
15,LF1837,2021-07-01,1076.798759858454,15,2000.0,LF1837,,,,,LF1837,
16,LF1837,2021-08-01,1009.1735090906091,16,315.0,LF1837,,,,,LF1837,
17,LF1837,2021-09-01,940.5480673172106,17,310.33,LF1837,,,,,LF1837,
18,LF1837,2021-10-01,874.136349471986,18,326.0,LF1837,,,,,LF1837,
19,LF1837,2021-11-01,805.5109076985875,19,405.0,LF1837,,,,,LF1837,
20,LF1837,2021-12-01,739.0991898533631,20,152.0,LF1837,,,,,LF1837,
21,LF1837,2022-01-01,670.4737480799644,21,479.0,LF1837,479.0,LF1837,-688.1664998199306,1646.1664998199306,LF1837,574.7368740399822
22,LF1837,2022-02-01,601.8483063065659,22,,,479.0,LF1837,-1171.6226935928808,2129.6226935928808,LF1837,540.424153153283
23,LF1837,2022-03-01,539.8640363176894,23,,,479.0,LF1837,-1542.591678580451,2500.5916785804507,LF1837,509.4320181588447
24,LF1837,2022-04-01,471.2385945442909,24,,,479.0,LF1837,-1855.332999639861,2813.332999639861,LF1837,475.11929727214545
25,LF1837,2022-05-01,404.8268766990665,25,,,479.0,LF1837,-2130.863634657861,3088.863634657861,LF1837,441.91343834953324
26,LF1837,2022-06-01,336.20143492566797,26,,,479.0,LF1837,-2379.9623694290644,3337.9623694290644,LF1837,407.600717462834
27,LF1837,2022-07-01,269.78971708044355,27,,,479.0,LF1837,-2609.0322971292508,3567.0322971292508,LF1837,374.3948585402218
28,LF1837,2022-08-01,201.16427530704476,28,,,479.0,LF1837,-2822.245387185761,3780.245387185761,LF1837,340.0821376535224
29,LF1837,2022-09-01,132.53883353364628,29,,,479.0,LF1837,-3022.499499459792,3980.499499459792,LF1837,305.76941676682316
30,LF1837,2022-10-01,66.12711568842185,30,,,479.0,LF1837,-3211.904548077487,4169.904548077488,LF1837,272.56355784421095
31,LF1837,2022-11-01,-2.4983260849769056,31,,,479.0,LF1837,-3392.0533477751237,4350.053347775123,LF1837,238.25083695751155
32,LF1837,2022-12-01,-68.91004393020133,32,,,479.0,LF1837,-3564.1833571609013,4522.183357160901,LF1837,205.04497803489934
33,LF1837,2023-01-01,-137.53548570359982,33,,,479.0,LF1837,-3729.278662104591,4687.278662104591,LF1837,170.7322571482001
34,LF1837,2023-02-01,-206.16092747699832,34,,,479.0,LF1837,-3888.13715564633,4846.13715564633,LF1837,136.41953626150084
35,LF1837,2023-03-01,-268.14519746587456,35,,,479.0,LF1837,-4041.416416053794,4999.416416053794,LF1837,105.42740126706272
36,LF1837,2023-04-01,-336.77063923927307,36,,,479.0,LF1837,-4189.665999279722,5147.665999279722,LF1837,71.11468038036347
37,LF1837,2023-05-01,-403.18235708449777,37,,,479.0,LF1837,-4333.350761440031,5291.350761440031,LF1837,37.90882145775112
38,LF1837,2023-06-01,-471.8077988578962,38,,,479.0,LF1837,-4472.868080778642,5430.868080778642,LF1837,3.596100571051892
