,Sold to Customer,Country,Customer region redefined,Pr CFN,recommend,Pr Division,confidence,Qty in Sales unit of measure (SUM),base average qty,base weightage qty,recommend average qty,final recommend qty,final recommend qty w probability
0,119887554473,Australia,Western Australia,8886803712,150462,MITG,0.53,3.0,113.0,-0.97,75.0,2.0,2.0
1,119887554473,Australia,Western Australia,8886803712,186-0106,MITG,0.55,3.0,113.0,-0.97,137.0,4.0,0.0
2,119887554473,Australia,Western Australia,8886803712,LF1837,MITG,0.54,3.0,113.0,-0.97,108.0,3.0,0.0
3,119887554473,Australia,Western Australia,8886803712,LF1937,MITG,0.59,3.0,113.0,-0.97,125.0,4.0,0.0
4,119888099641,Australia,Aust Capital Terr,173022,DS100A,MITG,0.6,4.0,7.0,-0.43,42.0,24.0,0.0
5,119888099641,Australia,Aust Capital Terr,173049,DS100A,MITG,0.63,10.0,46.0,-0.78,42.0,9.0,0.0
6,119888099641,Australia,Aust Capital Terr,8888247031,150462,MITG,0.5,133.0,36.0,2.69,75.0,277.0,277.0
7,119888099641,Australia,Aust Capital Terr,EASYCAPII6,DS100A,MITG,0.5,15.0,18.0,-0.17,42.0,35.0,35.0
8,119888099641,Australia,Aust Capital Terr,EGIA60AMT,DS100A,MITG,0.59,58.83,109.0,-0.46,42.0,23.0,23.0
9,119888099641,Australia,Aust Capital Terr,EGIAUSTND,DS100A,MITG,0.61,152.0,68.0,1.24,42.0,94.0,0.0
10,119888099641,Australia,Aust Capital Terr,LF1837,173050G,MITG,0.5,15.0,108.0,-0.86,84.0,12.0,12.0
11,119888099641,Australia,Aust Capital Terr,LF1837,DS100A,MITG,0.58,15.0,108.0,-0.86,42.0,6.0,6.0
12,119888099641,Australia,Aust Capital Terr,LF1937,340-000-000,MITG,0.5,199.0,125.0,0.59,24.0,38.0,38.0
13,119888099641,Australia,Aust Capital Terr,LF1937,DS100A,MITG,0.58,199.0,125.0,0.59,42.0,67.0,67.0
14,119888099641,Australia,Aust Capital Terr,LF2019,DS100A,MITG,0.6,35.0,26.0,0.35,42.0,57.0,57.0
15,119888099641,Australia,Aust Capital Terr,LF4418,340-000-000,MITG,0.52,47.0,66.0,-0.29,24.0,17.0,17.0
16,119888099641,Australia,Aust Capital Terr,LF4418,DS100A,MITG,0.61,47.0,66.0,-0.29,42.0,30.0,30.0
17,119888099641,Australia,Aust Capital Terr,OMS-PDBS2,340-000-000,MITG,0.51,5.0,19.0,-0.74,24.0,6.0,6.0
18,119888099641,Australia,Aust Capital Terr,OMS-PDBS2,DS100A,MITG,0.58,5.0,19.0,-0.74,42.0,11.0,0.0
19,119888099641,Australia,Aust Capital Terr,OMS-T10SB,DS100A,MITG,0.58,5.0,25.0,-0.8,42.0,8.0,8.0
20,119888099641,Australia,Aust Capital Terr,TECR1410DP2,DS100A,MITG,0.54,26.0,61.0,-0.57,42.0,18.0,18.0
21,119888145629,Australia,Aust Capital Terr,EASYCAPII6,DS100A,MITG,0.5,14.0,18.0,-0.22,42.0,33.0,0.0
22,119888145629,Australia,Aust Capital Terr,EASYCAPII6,LF1837,MITG,0.5,14.0,18.0,-0.22,108.0,84.0,0.0
23,119888145629,Australia,Aust Capital Terr,PEDICAP,LF1837,MITG,0.53,8.0,24.0,-0.67,108.0,36.0,36.0
24,119888534424,Australia,Victoria,ACC-822BK,ACC-1601,Diabetes,0.68,1.0,1.0,0.0,2.0,2.0,2.0
25,119888911364,Australia,Victoria,MMT-1891,MMT-7910W5,Diabetes,0.52,1.0,1.0,0.0,3.0,3.0,0.0
26,119889013581,Australia,New South Wales,MMT-7020C5,MMT-7810W1,Diabetes,0.51,17.0,26.0,-0.35,2.0,1.0,0.0
27,119889273957,Australia,South Australia,173022,DS100A,MITG,0.6,32.0,7.0,3.57,42.0,192.0,0.0
28,119889273957,Australia,South Australia,173049,DS100A,MITG,0.63,149.0,46.0,2.24,42.0,136.0,0.0
29,119889273957,Australia,South Australia,8886803712,150462,MITG,0.53,289.0,113.0,1.56,75.0,192.0,192.0
30,119889273957,Australia,South Australia,8888247031,150462,MITG,0.5,42.0,36.0,0.17,75.0,88.0,88.0
31,119889273957,Australia,South Australia,ABSTACK30X,DS100A,MITG,0.54,48.0,62.0,-0.23,42.0,32.0,0.0
32,119889273957,Australia,South Australia,D-YS,DS100A,MITG,0.8,2.0,9.0,-0.78,42.0,9.0,9.0
33,119889273957,Australia,South Australia,EASYCAPII6,DS100A,MITG,0.5,29.0,18.0,0.61,42.0,68.0,0.0
34,119889273957,Australia,South Australia,EGIA60AMT,DS100A,MITG,0.59,415.0,109.0,2.81,42.0,160.0,0.0
35,119889273957,Australia,South Australia,EGIAUSTND,DS100A,MITG,0.61,124.0,68.0,0.82,42.0,76.0,0.0
36,119889273957,Australia,South Australia,LF1837,173050G,MITG,0.5,554.0,108.0,4.13,84.0,431.0,0.0
37,119889273957,Australia,South Australia,LF1837,DS100A,MITG,0.58,554.0,108.0,4.13,42.0,215.0,215.0
38,119889273957,Australia,South Australia,LF1937,DS100A,MITG,0.58,487.0,125.0,2.9,42.0,164.0,0.0
39,119889273957,Australia,South Australia,LF2019,DS100A,MITG,0.6,79.0,26.0,2.04,42.0,128.0,128.0
40,119889273957,Australia,South Australia,LF4418,DS100A,MITG,0.61,297.0,66.0,3.5,42.0,189.0,189.0
41,119889273957,Australia,South Australia,OMS-PDBS2,DS100A,MITG,0.58,25.0,19.0,0.32,42.0,55.0,55.0
42,119889273957,Australia,South Australia,OMS-T10SB,DS100A,MITG,0.58,78.0,25.0,2.12,42.0,131.0,0.0
43,119889273957,Australia,South Australia,TECR1410DP2,DS100A,MITG,0.54,58.0,61.0,-0.05,42.0,40.0,40.0
44,119889395311,Australia,South Australia,ABSTACK30X,DS100A,MITG,0.54,15.0,62.0,-0.76,42.0,10.0,0.0
45,119889395311,Australia,South Australia,D-YS,DS100A,MITG,0.8,7.0,9.0,-0.22,42.0,33.0,33.0
46,119889395311,Australia,South Australia,EASYCAPII6,DS100A,MITG,0.5,15.0,18.0,-0.17,42.0,35.0,0.0
47,119889395311,Australia,South Australia,EGIA60AMT,DS100A,MITG,0.59,182.0,109.0,0.67,42.0,70.0,70.0
48,119889395311,Australia,South Australia,EGIAUSTND,DS100A,MITG,0.61,113.0,68.0,0.66,42.0,70.0,70.0
49,119889395311,Australia,South Australia,LF1837,173050G,MITG,0.5,61.0,108.0,-0.44,84.0,47.0,0.0
50,119889395311,Australia,South Australia,LF1837,DS100A,MITG,0.58,61.0,108.0,-0.44,42.0,24.0,0.0
51,119889395311,Australia,South Australia,LF1937,DS100A,MITG,0.58,163.0,125.0,0.3,42.0,55.0,0.0
52,119889395311,Australia,South Australia,LF2019,DS100A,MITG,0.6,1.0,26.0,-0.96,42.0,2.0,0.0
53,119889395311,Australia,South Australia,LF4418,DS100A,MITG,0.61,156.0,66.0,1.36,42.0,99.0,0.0
54,119889395311,Australia,South Australia,OMS-PDBS2,DS100A,MITG,0.58,6.0,19.0,-0.68,42.0,13.0,13.0
55,119889395311,Australia,South Australia,OMS-T10SB,DS100A,MITG,0.58,1.0,25.0,-0.96,42.0,2.0,2.0
56,119889395311,Australia,South Australia,TECR1410DP2,DS100A,MITG,0.54,1.0,61.0,-0.98,42.0,1.0,1.0
57,119890263775,Australia,New South Wales,115-70,186-0106,MITG,0.65,32.0,17.0,0.88,137.0,258.0,0.0
58,119890263775,Australia,New South Wales,115-80,186-0106,MITG,0.66,24.0,16.0,0.5,137.0,206.0,206.0
59,119890263775,Australia,New South Wales,118-70,186-0106,MITG,0.66,32.0,19.0,0.68,137.0,230.0,230.0
60,119890263775,Australia,New South Wales,118-80,186-0106,MITG,0.69,34.0,20.0,0.7,137.0,233.0,233.0
61,119890263775,Australia,New South Wales,173049,DS100A,MITG,0.63,87.0,46.0,0.89,42.0,79.0,0.0
62,119890263775,Australia,New South Wales,350-005-000,300-000-000,MITG,0.5,49.0,14.0,2.5,4.0,14.0,0.0
63,119890263775,Australia,New South Wales,350-013-000,300-000-000,MITG,0.51,56.0,13.0,3.31,4.0,17.0,17.0
64,119890263775,Australia,New South Wales,8886803712,150462,MITG,0.53,130.0,113.0,0.15,75.0,86.0,0.0
65,119890263775,Australia,New South Wales,8886803712,186-0106,MITG,0.55,130.0,113.0,0.15,137.0,158.0,158.0
66,119890263775,Australia,New South Wales,8888247031,150462,MITG,0.5,38.0,36.0,0.06,75.0,80.0,80.0
67,119890263775,Australia,New South Wales,8888247031,186-0106,MITG,0.59,38.0,36.0,0.06,137.0,145.0,145.0
68,119890263775,Australia,New South Wales,8888247056,186-0106,MITG,0.61,43.0,21.0,1.05,137.0,281.0,0.0
69,119890263775,Australia,New South Wales,ABSTACK30X,186-0106,MITG,0.53,245.0,62.0,2.95,137.0,541.0,0.0
70,119890263775,Australia,New South Wales,ABSTACK30X,DS100A,MITG,0.54,245.0,62.0,2.95,42.0,166.0,0.0
71,119890263775,Australia,New South Wales,EASYCAPII6,DS100A,MITG,0.5,23.0,18.0,0.28,42.0,54.0,0.0
72,119890263775,Australia,New South Wales,EGIA60AMT,186-0106,MITG,0.57,154.0,109.0,0.41,137.0,193.0,193.0
73,119890263775,Australia,New South Wales,EGIA60AMT,DS100A,MITG,0.59,154.0,109.0,0.41,42.0,59.0,0.0
74,119890263775,Australia,New South Wales,EGIAUSTND,186-0106,MITG,0.59,15.0,68.0,-0.78,137.0,30.0,30.0
75,119890263775,Australia,New South Wales,EGIAUSTND,DS100A,MITG,0.61,15.0,68.0,-0.78,42.0,9.0,0.0
